coingecko_id,symbol,network,address
bitcoin,btc,btc,bc1ql649p7jxvcqt737e7xe6mgjznhl39kjpyutht3
ethereum,eth,eth,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
tron,trx,trx,TQX1QWX2qTWGNHgiqdAEiN7WVDuUjxFHJc
solana,sol,sol,2eX4YB5QeJqcCo6qnexNwVzRrmbH1RMbizxQ7zve6kEA
binancecoin,bnb,bep20,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
base,base,base,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
avalanche-2,avax,avax,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
polygon-ecosystem-token,pol,polygon,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
ripple,XRP,xrp,rLaEf3onNs5B8qshciKvfp5foAncYKiPcm
tether,usdt,erc20,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
tether,usdt,trc20,TQX1QWX2qTWGNHgiqdAEiN7WVDuUjxFHJc
tether,usdt,sol,2eX4YB5QeJqcCo6qnexNwVzRrmbH1RMbizxQ7zve6kEA
tether,usdt,bep20,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
tether,usdt,base,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
tether,usdt,avax,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
tether,usdt,TON,UQC9iwAxiOzVXhnUHUbyyVZjCdML2jDku3R0CtsiSLj5JAPq
tether,usdt,polygon,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
usd-coin,usdc,erc20,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
usd-coin,usdc,trc20,TQX1QWX2qTWGNHgiqdAEiN7WVDuUjxFHJc
usd-coin,usdc,sol,2eX4YB5QeJqcCo6qnexNwVzRrmbH1RMbizxQ7zve6kEA
usd-coin,usdc,bep20,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
usd-coin,usdc,base,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
usd-coin,usdc,avax,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
usd-coin,usdc,TON,UQC9iwAxiOzVXhnUHUbyyVZjCdML2jDku3R0CtsiSLj5JAPq
usd-coin,usdc,polygon,0x6212Ffe5b192cc917991f377Ec3A9164093e73c3
dogecoin,Doge,doge,DTMui4p1ZF5xxTzqoSn5U8H9aDQKYiyLxS
cardano,ada,ada,addr1qx55vlmn35jhmpdh5vflcz520emm43jcvfkp9k8m5ypmw0s34n5cemsdd8ycpnl3elgwccdtalcqwe54x6td2e58q7ps4je5yk
